,0
0,0.6310273371164623
1,0.6283755799552487
2,0.6061067559878706
3,0.539901059535559
4,0.607671153913471
5,0.6550254907019594
6,0.7310911122523713
7,0.83583398867233
8,0.9082315539795586
9,0.9225989734987994
10,0.9143669583576219
11,0.8861894432191845
12,0.8490166824172429
13,0.8234809734267593
14,0.8282678661822099
15,0.8257001617494607
16,0.8184934664165735
17,0.8183686272020968
18,0.8364972823313093
19,0.8547805459181986
20,0.8658084797739664
21,0.9000915071627725
22,0.9330155643939971
23,0.9637665638778762
24,0.9777786111069889
25,0.981645031059425
26,0.980376684026694
27,0.971226370319619
28,0.9634448257646177
29,0.9626554998358562
30,0.9571697943339386
31,0.9477740366393113
32,0.9324235635977415
33,0.9097514557924952
34,0.8570969576202833
35,0.8328082227785226
36,0.8395931240367815
37,0.8428749682506739
38,0.8367171681680955
39,0.8338219640509609
40,0.8337810936966755
41,0.8543038934689984
42,0.8906621384836529
43,0.8949702809201663
44,0.8916818329710645
45,0.8565681946550704
46,0.8047479391794586
47,0.7018092757807259
48,0.6373608495048602
