Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
12.2211,0.1553613,-0.1302585,1.705304,0.05748667,0.9903908,0.113171
12.23514,0.1550291,-0.1299116,1.705557,0.05714715,0.9903533,0.1139369
12.24845,0.1548129,-0.129675,1.705728,0.05716772,0.9903173,0.1143993
12.26376,0.1546542,-0.1294934,1.705847,0.05750452,0.9902862,0.1146882
12.27703,0.1545283,-0.1293483,1.705904,0.0578328,0.990261,0.114874
12.29018,0.1543957,-0.1292306,1.705948,0.05823819,0.9902393,0.1149206
12.30501,0.1542949,-0.1291367,1.705953,0.05838988,0.9902469,0.1148249
12.31877,0.1542097,-0.1290573,1.705958,0.0584804,0.9902537,0.1147609
12.33287,0.154083,-0.1289592,1.70596,0.0583645,0.9902663,0.1147653
12.34676,0.1539722,-0.1288879,1.705957,0.05822882,0.9902794,0.114778
12.36064,0.1538748,-0.1288208,1.705947,0.05805505,0.9902942,0.1147705
12.37449,0.1538023,-0.1287666,1.705928,0.05792722,0.9903064,0.1147434
12.3877,0.1537536,-0.1287141,1.705909,0.05785634,0.9903192,0.1147017
12.40298,0.1537267,-0.1286414,1.705894,0.05781101,0.9903284,0.1146739
12.41638,0.1537357,-0.1285392,1.705887,0.0578039,0.9903343,0.1146668
12.42954,0.1537919,-0.1283869,1.705907,0.05773009,0.9903224,0.1148136
12.44514,0.1539007,-0.1281964,1.705952,0.05759146,0.9902964,0.1150689
12.45812,0.1540608,-0.1279879,1.706006,0.05740863,0.9902675,0.1153678
12.47199,0.1542642,-0.1277625,1.706067,0.05719038,0.990238,0.1156554
12.48571,0.154526,-0.1275366,1.706123,0.0571494,0.9901922,0.1159433
12.49986,0.1548721,-0.1273056,1.706183,0.05727029,0.9901304,0.1161977
12.51294,0.1552886,-0.1270908,1.706253,0.05755116,0.990055,0.1164952
12.52767,0.1557032,-0.1269045,1.706311,0.0577834,0.9899892,0.1167514
12.54227,0.1561306,-0.1267317,1.706362,0.05785093,0.9899285,0.1169849
12.55542,0.156571,-0.1265666,1.706408,0.05767577,0.9898649,0.1172998
12.56876,0.1571405,-0.1263867,1.706451,0.05750909,0.9897858,0.1175841
12.58322,0.1576039,-0.1262308,1.706487,0.05769308,0.9897228,0.1177104
12.59745,0.1580437,-0.1261089,1.706512,0.05819505,0.9896441,0.1178603
12.61151,0.1584347,-0.1260084,1.706542,0.05846304,0.9895883,0.1180439
12.62544,0.1587858,-0.1259252,1.706558,0.05854596,0.9895425,0.1181713
12.63901,0.1591377,-0.1258467,1.706563,0.05844976,0.9895157,0.1181534
12.65217,0.1594652,-0.1257487,1.706578,0.05817991,0.9894781,0.1182627
12.66697,0.1597591,-0.1256832,1.706598,0.05805735,0.989433,0.1184268
12.68153,0.1600488,-0.1256473,1.706622,0.05819249,0.9893948,0.118487
12.69488,0.1602955,-0.1256246,1.706641,0.05837962,0.9893598,0.1185636
12.70805,0.1605067,-0.1256212,1.70665,0.05868049,0.989332,0.1185673
12.72275,0.1606906,-0.1256141,1.706643,0.05891478,0.9893168,0.1185396
12.73692,0.1608925,-0.1256209,1.706637,0.05910527,0.9892974,0.1185097
12.75081,0.161028,-0.1256191,1.706632,0.05920918,0.9892874,0.1184651
12.76456,0.1611593,-0.1256143,1.706631,0.05925346,0.9892684,0.118485
12.77832,0.1612305,-0.125612,1.706632,0.05931976,0.9892582,0.11849
12.79188,0.1612832,-0.1256077,1.70664,0.05936614,0.9892569,0.1184592
