Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
12.19429,-0.07386286,0.1877468,1.723766,-0.2773817,0.4689728,0.4606439
12.20675,-0.07355596,0.1937824,1.72473,-0.2802002,0.4735133,0.4614709
12.2211,-0.07339045,0.199681,1.725623,-0.2844626,0.4762567,0.4612365
12.23514,-0.07355842,0.2053648,1.726311,-0.2907872,0.4768907,0.4608788
12.24845,-0.07396163,0.2108809,1.727073,-0.2971815,0.4783475,0.4616528
12.26376,-0.07445886,0.2161724,1.72775,-0.303531,0.4787642,0.4619167
12.27703,-0.07490363,0.2214272,1.728401,-0.3091663,0.4776953,0.4607418
12.29018,-0.07542349,0.2264564,1.729084,-0.3149307,0.4764666,0.4601348
12.30501,-0.07606665,0.2315277,1.729718,-0.3217658,0.4756949,0.4619974
12.31877,-0.07658659,0.2364333,1.73035,-0.3285444,0.4767167,0.4635387
12.33287,-0.076886,0.241313,1.730864,-0.3351539,0.4784679,0.4639388
12.34676,-0.0773422,0.2461463,1.731341,-0.3422362,0.4811444,0.4663819
12.36064,-0.07782778,0.2505409,1.731853,-0.3495062,0.4835584,0.4677423
12.37449,-0.07821257,0.2549451,1.732243,-0.3563742,0.4834485,0.4666047
12.3877,-0.07861759,0.2591943,1.732621,-0.3637681,0.4833439,0.4664191
12.40298,-0.07886682,0.2631742,1.733099,-0.3700956,0.4842486,0.4657936
12.41638,-0.0791086,0.2670828,1.733715,-0.3754222,0.4860947,0.4647067
12.42954,-0.07940426,0.2709455,1.734183,-0.381975,0.4878343,0.465129
12.44514,-0.07957738,0.2743285,1.734933,-0.3882453,0.4906514,0.4658231
12.45812,-0.0795423,0.2779468,1.735638,-0.3925022,0.4920726,0.4650851
12.47199,-0.07957914,0.2812451,1.736396,-0.3966556,0.4933665,0.4637718
12.48571,-0.07969648,0.2843964,1.737124,-0.4010762,0.4942316,0.4644114
12.49986,-0.07985871,0.2877008,1.737609,-0.406626,0.4981665,0.466618
12.51294,-0.07980333,0.2907283,1.738149,-0.4110146,0.5021818,0.466661
12.52767,-0.07960267,0.2940224,1.738398,-0.4155495,0.5042852,0.4646252
12.54227,-0.0794325,0.2970232,1.738565,-0.420574,0.5070773,0.462936
12.55542,-0.0792506,0.2997663,1.738927,-0.4249254,0.5097525,0.4618251
12.56876,-0.07861158,0.3029213,1.738967,-0.4277125,0.5123041,0.4597682
12.58322,-0.07808387,0.3058348,1.738951,-0.4316792,0.5176544,0.4575509
12.59745,-0.07747287,0.3086202,1.739045,-0.4349689,0.5226225,0.4554514
12.61151,-0.07665136,0.3114142,1.739043,-0.4376105,0.5270482,0.4534765
12.62544,-0.07573727,0.3142055,1.739016,-0.4390914,0.5319561,0.4513585
12.63901,-0.07488222,0.3170282,1.738807,-0.4407243,0.5373542,0.4493915
12.65217,-0.07401586,0.3198918,1.738357,-0.443404,0.5440155,0.4471229
12.66697,-0.07318106,0.3225078,1.737957,-0.4466171,0.5505171,0.4445513
12.68153,-0.07191394,0.3254125,1.737422,-0.4482506,0.5554047,0.4408862
12.69488,-0.07039008,0.3285733,1.736677,-0.4489884,0.5628383,0.4364509
12.70805,-0.06949162,0.3313014,1.735998,-0.4499564,0.5728292,0.4329407
12.72275,-0.06901459,0.3334009,1.735634,-0.4523426,0.5779504,0.4336596
12.73692,-0.06783227,0.3362523,1.734693,-0.4541491,0.5811802,0.4345832
12.75081,-0.06673765,0.3391773,1.733679,-0.4553863,0.5893031,0.4327618
12.76456,-0.06541647,0.3423217,1.732162,-0.4566041,0.6024265,0.4279083
12.77832,-0.06397464,0.3453864,1.730596,-0.4574921,0.6149666,0.4206601
12.79188,-0.06293761,0.3484023,1.729081,-0.4583621,0.6253678,0.4116349
12.80639,-0.0627657,0.3505232,1.72806,-0.4624014,0.6271791,0.4081202
12.82117,-0.06195433,0.352858,1.726698,-0.4664468,0.6280023,0.4084739
12.83441,-0.06086614,0.3558013,1.725232,-0.4674503,0.6364308,0.4093846
12.84771,-0.05991305,0.3585258,1.724174,-0.4640627,0.6514364,0.4100577
12.86206,-0.05876077,0.3613954,1.722686,-0.4595843,0.6640582,0.4111623
12.87628,-0.05785697,0.3641701,1.720534,-0.4583706,0.6730499,0.4102798
12.89025,-0.05792572,0.366968,1.718962,-0.4589646,0.680029,0.4055087
