positions:	0	0.820305	0.3316	0	0.59	0.0]
positions:	0	0.820305	0.331612558	0	0.59	0.0]
positions:	-0.04397632	0.822476864	0.332661507	-0.040799103	0.641573355	0.030144730291420268]
positions:	-0.08795264	0.824648729	0.333710457	-0.081598207	0.693146709	0.060289460582840536]
positions:	-0.13192896	0.826820593	0.334759407	-0.12239731	0.744720064	0.0904341908742608]
positions:	-0.17590528	0.828992457	0.335808356	-0.163196413	0.796293418	0.12057892116568107]
positions:	-0.2198816	0.831164321	0.336857306	-0.203995517	0.847866773	0.15072365145710134]
positions:	-0.26385792	0.833336186	0.337906255	-0.24479462	0.899440127	0.1808683817485216]
positions:	-0.30783424	0.83550805	0.338955205	-0.285593723	0.951013482	0.21101311203994186]
positions:	-0.35181056	0.837679914	0.340004155	-0.326392827	1.002586837	0.24115784233136214]
positions:	-0.39578688	0.839851779	0.341053104	-0.36719193	1.054160191	0.2713025726227824]
positions:	-0.4397632	0.842023643	0.342102054	-0.407991033	1.105733546	0.3014473029142027]
positions:	-0.48373952	0.844195507	0.343151003	-0.448790137	1.1573069	0.3315920332056229]
positions:	-0.52771584	0.846367371	0.344199953	-0.48958924	1.208880255	0.3617367634970432]
positions:	-0.57169216	0.848539236	0.345248903	-0.530388343	1.26045361	0.3918814937884635]
positions:	-0.61566848	0.8507111	0.346297852	-0.571187446	1.312026964	0.4220262240798837]
positions:	-0.6596448	0.852882964	0.347346802	-0.61198655	1.363600319	0.452170954371304]
positions:	-0.703621119	0.855054829	0.348395751	-0.652785653	1.415173673	0.4823156846627243]
positions:	-0.747597439	0.857226693	0.349444701	-0.693584756	1.466747028	0.5124604149541445]
positions:	-0.791573759	0.859398557	0.350493651	-0.73438386	1.518320382	0.5426051452455648]
positions:	-0.835550079	0.861570421	0.3515426	-0.775182963	1.569893737	0.5727498755369851]
positions:	-0.879526399	0.863742286	0.35259155	-0.815982066	1.621467092	0.6028946058284054]
positions:	-0.923502719	0.86591415	0.353640499	-0.85678117	1.673040446	0.6330393361198257]
positions:	-0.967479039	0.868086014	0.354689449	-0.897580273	1.724613801	0.6631840664112458]
positions:	-1.011455359	0.870257879	0.355738399	-0.938379376	1.776187155	0.6933287967026662]
positions:	-1.055431679	0.872429743	0.356787348	-0.97917848	1.82776051	0.7234735269940864]
positions:	-1.099407999	0.874601607	0.357836298	-1.019977583	1.879333865	0.7536182572855067]
positions:	-1.143384319	0.876773472	0.358885247	-1.060776686	1.930907219	0.783762987576927]
positions:	-1.187360639	0.878945336	0.359934197	-1.10157579	1.982480574	0.8139077178683473]
positions:	-1.231336959	0.8811172	0.360983147	-1.142374893	2.034053928	0.8440524481597674]
positions:	-1.275313279	0.883289064	0.362032096	-1.183173996	2.085627283	0.8741971784511878]
positions:	-1.319289599	0.885460929	0.363081046	-1.2239731	2.137200637	0.904341908742608]
positions:	-1.363265919	0.887632793	0.364129995	-1.264772203	2.188773992	0.9344866390340283]
positions:	-1.407242239	0.889804657	0.365178945	-1.305571306	2.240347347	0.9646313693254486]
positions:	-1.451218559	0.891976522	0.366227895	-1.34637041	2.291920701	0.9947760996168689]
positions:	-1.495194879	0.894148386	0.367276844	-1.387169513	2.343494056	1.024920829908289]
positions:	-1.539171199	0.89632025	0.368325794	-1.427968616	2.39506741	1.0550655601997094]
positions:	-1.583147519	0.898492114	0.369374743	-1.46876772	2.446640765	1.0852102904911296]
positions:	-1.627123839	0.900663979	0.370423693	-1.509566823	2.49821412	1.1153550207825498]
positions:	-1.671100159	0.902835843	0.371472643	-1.550365926	2.549787474	1.1454997510739702]
positions:	-1.715076479	0.905007707	0.372521592	-1.591165029	2.601360829	1.1756444813653906]
positions:	-1.759052799	0.907179572	0.373570542	-1.631964133	2.652934183	1.2057892116568107]
positions:	-1.803029119	0.909351436	0.374619491	-1.672763236	2.704507538	1.235933941948231]
positions:	-1.847005439	0.9115233	0.375668441	-1.713562339	2.756080892	1.2660786722396513]
positions:	-1.890981759	0.913695164	0.376717391	-1.754361443	2.807654247	1.2962234025310715]
positions:	-1.934958079	0.915867029	0.37776634	-1.795160546	2.859227602	1.3263681328224917]
positions:	-1.978934399	0.918038893	0.37881529	-1.835959649	2.910800956	1.356512863113912]
positions:	-2.022910718	0.920210757	0.379864239	-1.876758753	2.962374311	1.3866575934053325]
positions:	-2.066887038	0.922382622	0.380913189	-1.917557856	3.013947665	1.4168023236967526]
positions:	-2.110863358	0.924554486	0.381962139	-1.958356959	3.06552102	1.4469470539881728]
positions:	-2.154839678	0.92672635	0.383011088	-1.999156063	3.117094375	1.477091784279593]
positions:	-2.198815998	0.928898214	0.384060038	-2.039955166	3.168667729	1.5072365145710134]
positions:	-2.242792318	0.931070079	0.385108987	-2.080754269	3.220241084	1.5373812448624338]
positions:	-2.286768638	0.933241943	0.386157937	-2.121553373	3.271814438	1.567525975153854]
positions:	-2.330744958	0.935413807	0.387206887	-2.162352476	3.323387793	1.5976707054452741]
positions:	-2.374721278	0.937585672	0.388255836	-2.203151579	3.374961147	1.6278154357366945]
positions:	-2.418697598	0.939757536	0.389304786	-2.243950683	3.426534502	1.6579601660281147]
positions:	-2.462673918	0.9419294	0.390353735	-2.284749786	3.478107857	1.6881048963195349]
positions:	-2.506650238	0.944101264	0.391402685	-2.325548889	3.529681211	1.7182496266109553]
positions:	-2.550626558	0.946273129	0.392451635	-2.366347993	3.581254566	1.7483943569023757]
positions:	-2.594602878	0.948444993	0.393500584	-2.407147096	3.63282792	1.7785390871937958]
