Gesture,Target,Wall,Box,Plane,Position_1_X,Position_1_Y,Position_1_Z,Rotation_1,,,Scale_1,,,Position_2,,,Rotation_2,,,Scale_2,,
1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,X,X,,,-0.507101417,0.287999988,0.034000002,0,0,0,0.1,0.1,0.1,-0.217999995,0.428000003,0,0,0,0,0.05,0.5,1
3,X,X,,,0.479000002,0.524999976,-0.214000002,0,0,0,0.1,0.1,0.1,0.349000007,0.558000028,-0.119000003,0,90,0,0.05,0.5,0.5
4,X,X,,,-0.017000001,0.389999986,-0.61500001,0,0,0,0.1,0.1,0.1,0,0.368000001,-0.469000012,0,90,0,0.05,0.5,0.5
5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
