Gesture,Target,Wall,Box,Plane,Position_1_X,Position_1_Y,Position_1_Z,Rotation_1,,,Scale_1,,,Position_2,,,Rotation_2,,,Scale_2,,
1,,,,,,,,,,,,,,,,,,,,,,
2,X,X,,,-0.476000011,0.56400001,-0.237000003,0,0,0,0.1,0.1,0.1,-0.39199999,0.51700002,-0.221000001,0,0,0,0.05,0.5,0.5
3,X,X,,,-0.103,0.77700001,-0.342000008,0,0,0,0.1,0.1,0.1,-0.027000001,0.75999999,-0.188999996,0,90,0,0.05,1,0.5
4,X,X,,,-0.206,0.791999996,-0.421000004,0,0,0,0.1,0.1,0.1,0,0.987999976,-0.166999996,0,90,0,0.05,0.5,1
5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
